title,url,location,city,country
Literary Tourism: A Magical Harry Potter Guidebook to Scotland and England,https://bookriot.com/2017/11/12/literary-tourism-magical-harry-potter-guidebook-scotland-england/,A Magical Harry Potter Guidebook to Scotland and England,,
Literary Tourism: Cambridge UK,https://bookriot.com/2017/10/15/literary-tourism-cambridge-uk/,Cambridge UK,Cambridge,UK
"Literary Tourism: Pittsburgh, PA",https://bookriot.com/2017/10/01/literary-tourism-pittsburgh-pa/,"Pittsburgh, PA",Pittsburgh,US
"Literary Tourism: Cleveland, Ohio",https://bookriot.com/2017/09/17/literary-tourism-cleveland-ohio/,"Cleveland, Ohio",Cleveland,US
Literary Tourism: Storybook Island in South Dakota,https://bookriot.com/2017/09/03/literary-tourism-storybook-island-south-dakota/,Storybook Island in South Dakota,,US
"Literary Tourism: Saskatchewan, Canada",https://bookriot.com/2017/08/20/literary-tourism-saskatchewan-canada/,"Saskatchewan, Canada",Saskatchewan,Canada
Literary Tourism Central Pennsylvania,https://bookriot.com/2017/08/13/literary-tourism-central-pennsylvania/,Literary Tourism Central Pennsylvania,Philadelphia,US
"Literary Tourism: Cartagena de Indias, Colombia",https://bookriot.com/2017/07/30/literary-tourism-cartagena-de-indias-colombia/,"Cartagena de Indias, Colombia",Cartagena,Colombia
"Literary Tourism: County Kerry, Ireland",https://bookriot.com/2017/07/23/literary-tourism-county-kerry-ireland/,"County Kerry, Ireland",,Ireland
Literary Tourism: Jane Austen-Themed Destinations,https://bookriot.com/2017/07/18/literary-tourism-jane-austen-themed-destination/,Jane Austen-Themed Destinations,,UK
"Literary Tourism: Orlando, Florida",https://bookriot.com/2017/07/16/literary-tourism-orlando-florida/,"Orlando, Florida",Orlando,US
Literary Tourism: Munich Germany,https://bookriot.com/2017/07/02/literary-tourism-munich-germany/,Munich Germany,Munich,Germany
Literary Tourism: An Off-the-Map Bookish Tour of Chicago,https://bookriot.com/2017/06/14/614-literary-tourism-an-off-the-map-bookish-tour-of-chicago/,An Off-the-Map Bookish Tour of Chicago,,US
"Literary Tourism: Lincoln, Nebraska",https://bookriot.com/2017/06/11/literary-tourism-lincoln-nebraska/,"Lincoln, Nebraska",Lincoln,US
"Literary Tourism: Phoenix Metro Area, AZ",https://bookriot.com/2017/06/04/literary-tourism-phoenix-metro-area-az/,"Phoenix Metro Area, AZ",Phoenix,US
Literary Tourism: Seattle (Take Two),https://bookriot.com/2017/05/28/literary-tourism-seattle-take-two/,Seattle (Take Two),Seattle,US
Literary Tourism: Travel The World‰Ûªs Book Towns,https://bookriot.com/2017/05/21/literary-tourism-travel-worlds-book-towns/,Travel The World‰Ûªs Book Towns,,world
Literary Tourism: Hudson Valley,https://bookriot.com/2017/05/14/literary-tourism-hudson-valley/,Hudson Valley,Hudson,US
"Literary Tourism: Portland, Maine",https://bookriot.com/2017/05/07/literary-tourism-portland-maine/,"Portland, Maine",Portland,US
"Literary Tourism: Halifax, Nova Scotia",https://bookriot.com/2017/04/30/literary-tourism-halifax-nova-scotia/,"Halifax, Nova Scotia",Halifax,Canada
The Best Bookstores in All 50 States + DC,https://bookriot.com/2017/04/28/book-riots-favorite-bookstores-in-all-50-states-dc/,The Best Bookstores in All 50 States + DC,,US
"Literary Tourism: Asheville, NC",https://bookriot.com/2017/04/23/literary-tourism-asheville-nc/,"Asheville, NC",Asheville,US
Literary Tourism: 4 UNESCO Cities of Literature You Might Want to Visit,https://bookriot.com/2017/04/16/literary-tourism-4-unesco-cities-literature-might-want-visit/,4 UNESCO Cities of Literature You Might Want to Visit,,world
"Literary Tourism: Rome, Italy",https://bookriot.com/2017/02/26/literary-tourism-rome-italy/,"Rome, Italy",Rome,Italy
Literary Tourism: Idaho,https://bookriot.com/2017/02/19/literary-tourism-idaho/,Idaho,,US
Literary Tourism: Cairo for Book Lovers,https://bookriot.com/2017/02/12/literary-tourism-cairo-book-lovers/,Cairo for Book Lovers,Cairo,Egypt
"Literary Tour of Chincoteague, Virginia",https://bookriot.com/2017/01/22/literary-tour-chincoteague-virginia/,"Literary Tour of Chincoteague, Virginia",Chincoteague,US
"A Literary Tour of Lewes, UK",https://bookriot.com/2017/01/08/literary-tour-lewes-uk/,"A Literary Tour of Lewes, UK",Lewes,UK
Wintery Bookish Travel Spots (And Staycations),https://bookriot.com/2016/12/20/wintery-bookish-travel-spots-and-staycations/,Wintery Bookish Travel Spots (And Staycations),,world
Literary Tourism: The Baby-Sitters Club Pilgrimage Tour,https://bookriot.com/2016/12/18/literary-tourism-the-baby-sitters-club-pilgrimage-tour/,The Baby-Sitters Club Pilgrimage Tour,,world
Literary Tourism: Agatha Christie,https://bookriot.com/2016/12/11/literary-tourism-agatha-christie/,Agatha Christie,,world
"Bangladeshi Comic ‰Û÷Ms Shabash‰Ûª Fights Whitening Creams, Auntybots",https://bookriot.com/2016/11/30/bangladeshi-comic-ms-shabash-fights-whitening-creams-auntybots/,"Bangladeshi Comic ‰Û÷Ms Shabash‰Ûª Fights Whitening Creams, Auntybots",Bangladesh,India
"Literary Tourism: Traverse City, Michigan",https://bookriot.com/2016/11/27/literary-tourism-traverse-city-michigan/,"Traverse City, Michigan",Traverse City,US
Literary Tourism: Big Sur and Monterey,https://bookriot.com/2016/11/20/literary-tourism-big-sur-monterey/,Big Sur and Monterey,Big Sur,US
Reading Locally When You Travel,https://bookriot.com/2016/11/16/reading-locally-when-you-travel/,Reading Locally When You Travel,,world
Literary Tourism: Bookish Wanderings in Glasgow,https://bookriot.com/2016/11/06/literary-tourism-bookish-wanderings-glasgow/,Bookish Wanderings in Glasgow,Glasgow,UK
Literary Tourism: Japan,https://bookriot.com/2016/10/30/literary-tourism-japan/,Japan,Tokyo,Japan
"Happy Birthday, Dylan Thomas!",https://bookriot.com/2016/10/27/happy-birthday-dylan-thomas/,"Happy Birthday, Dylan Thomas!",,world
